Year,Half,Division,avg_goal_diff,Date
2008,1,E1,0.44664031620553357,2008-03-01
2008,2,E1,0.3814102564102564,2008-09-01
2009,1,E1,0.2708333333333333,2009-03-01
2009,2,E1,0.3202846975088968,2009-09-01
2010,1,E1,0.5350553505535055,2010-03-01
2010,2,E1,0.3786764705882353,2010-09-01
2011,1,E1,0.28214285714285714,2011-03-01
2011,2,E1,0.36013986013986016,2011-09-01
2012,1,E1,0.12781954887218044,2012-03-01
2012,2,E1,0.2651006711409396,2012-09-01
2013,1,E1,0.35826771653543305,2013-03-01
2013,2,E1,0.29818181818181816,2013-09-01
2014,1,E1,0.2527075812274368,2014-03-01
2014,2,E1,0.3229166666666667,2014-09-01
2015,1,E1,0.23863636363636365,2015-03-01
2015,2,E1,0.30313588850174217,2015-09-01
2016,1,E1,0.2641509433962264,2016-03-01
2016,2,E1,0.3146853146853147,2016-09-01
2017,1,E1,0.462406015037594,2017-03-01
2017,2,E1,0.2633333333333333,2017-09-01
2018,1,E1,0.2777777777777778,2018-03-01
2018,2,E1,0.28,2018-09-01
2019,1,E1,0.45634920634920634,2019-03-01
2019,2,E1,0.3010033444816054,2019-09-01
2020,1,E1,0.022727272727272728,2020-03-01
2020,2,E1,0.17804154302670624,2020-09-01
2021,1,E1,0.18835616438356165,2021-03-01
2021,2,E1,0.26334519572953735,2021-09-01
2022,1,E1,0.3800738007380074,2022-03-01
2022,2,E1,0.18120805369127516,2022-09-01
2023,1,E1,0.25984251968503935,2023-03-01
2023,2,E1,0.2833333333333333,2023-09-01
2024,1,E1,0.28174603174603174,2024-03-01
2024,2,E1,0.4753521126760563,2024-09-01
2025,1,E1,0.36466165413533835,2025-03-01
2008,1,F1,0.42408376963350786,2008-03-01
2008,2,F1,0.2894736842105263,2008-09-01
2009,1,F1,0.34210526315789475,2009-03-01
2009,2,F1,0.32620320855614976,2009-09-01
2010,1,F1,0.40932642487046633,2010-03-01
2010,2,F1,0.2712765957446808,2010-09-01
2011,1,F1,0.4114583333333333,2011-03-01
2011,2,F1,0.4421052631578947,2011-09-01
2012,1,F1,0.42105263157894735,2012-03-01
2012,2,F1,0.41578947368421054,2012-09-01
2013,1,F1,0.3684210526315789,2013-03-01
2013,2,F1,0.455026455026455,2013-09-01
2014,1,F1,0.29842931937172773,2014-03-01
2014,2,F1,0.3968253968253968,2014-09-01
2015,1,F1,0.2617801047120419,2015-03-01
2015,2,F1,0.2789473684210526,2015-09-01
2016,1,F1,0.41578947368421054,2016-03-01
2016,2,F1,0.5319148936170213,2016-09-01
2017,1,F1,0.4270833333333333,2017-03-01
2017,2,F1,0.3736842105263158,2017-09-01
2018,1,F1,0.30526315789473685,2018-03-01
2018,2,F1,0.3240223463687151,2018-09-01
2019,1,F1,0.43781094527363185,2019-03-01
2019,2,F1,0.5828877005347594,2019-09-01
2020,1,F1,0.22826086956521738,2020-03-01
2020,2,F1,0.041666666666666664,2020-09-01
2021,1,F1,0.02830188679245283,2021-03-01
2021,2,F1,0.31382978723404253,2021-09-01
2022,1,F1,0.3958333333333333,2022-03-01
2022,2,F1,0.0875,2022-09-01
2023,1,F1,0.2318181818181818,2023-03-01
2023,2,F1,0.40522875816993464,2023-09-01
2024,1,F1,-0.013071895424836602,2024-03-01
2024,2,F1,0.3037037037037037,2024-09-01
2025,1,F1,0.2,2025-03-01
2008,1,G1,0.546875,2008-03-01
2008,2,G1,0.25833333333333336,2008-09-01
2009,1,G1,0.4166666666666667,2009-03-01
2009,2,G1,0.4,2009-09-01
2010,1,G1,0.3416666666666667,2010-03-01
2010,2,G1,0.325,2010-09-01
2011,1,G1,0.39166666666666666,2011-03-01
2012,2,G1,0.4083333333333333,2012-09-01
2013,1,G1,0.35833333333333334,2013-03-01
2013,2,G1,0.5555555555555556,2013-09-01
2014,1,G1,0.6339869281045751,2014-03-01
2014,2,G1,0.4740740740740741,2014-09-01
2015,1,G1,0.6764705882352942,2015-03-01
2015,2,G1,0.2833333333333333,2015-09-01
2016,1,G1,0.475,2016-03-01
2016,2,G1,0.5104166666666666,2016-09-01
2017,1,G1,0.6041666666666666,2017-03-01
2017,2,G1,0.3333333333333333,2017-09-01
2018,1,G1,0.5,2018-03-01
2018,2,G1,0.5089285714285714,2018-09-01
2019,1,G1,0.4015748031496063,2019-03-01
2019,2,G1,0.5714285714285714,2019-09-01
2020,1,G1,0.5816326530612245,2020-03-01
2020,2,G1,0.017241379310344827,2020-09-01
2021,1,G1,0.13636363636363635,2021-03-01
2021,2,G1,0.22549019607843138,2021-09-01
2022,1,G1,0.2536231884057971,2022-03-01
2024,2,G1,0.22857142857142856,2024-09-01
2025,1,G1,0.17355371900826447,2025-03-01
2008,1,I1,0.4507042253521127,2008-03-01
2008,2,I1,0.6331360946745562,2008-09-01
2009,1,I1,0.2890995260663507,2009-03-01
2009,2,I1,0.4036144578313253,2009-09-01
2010,1,I1,0.5280373831775701,2010-03-01
2010,2,I1,0.4550898203592814,2010-09-01
2011,1,I1,0.2676056338028169,2011-03-01
2011,2,I1,0.48125,2011-09-01
2012,1,I1,0.40454545454545454,2012-03-01
2012,2,I1,0.34444444444444444,2012-09-01
2013,1,I1,0.355,2013-03-01
2013,2,I1,0.38235294117647056,2013-09-01
2014,1,I1,0.3238095238095238,2014-03-01
2014,2,I1,0.23125,2014-09-01
2015,1,I1,0.35909090909090907,2015-03-01
2015,2,I1,0.39644970414201186,2015-09-01
2016,1,I1,0.3412322274881517,2016-03-01
2016,2,I1,0.4044943820224719,2016-09-01
2017,1,I1,0.3316831683168317,2017-03-01
2017,2,I1,0.19148936170212766,2017-09-01
2018,1,I1,0.2760416666666667,2018-03-01
2018,2,I1,0.3105263157894737,2018-09-01
2019,1,I1,0.2631578947368421,2019-03-01
2019,2,I1,0.15384615384615385,2019-09-01
2020,1,I1,0.1592920353982301,2020-03-01
2020,2,I1,0.15677966101694915,2020-09-01
2021,1,I1,0.30165289256198347,2021-03-01
2021,2,I1,0.1693121693121693,2021-09-01
2022,1,I1,0.1099476439790576,2022-03-01
2022,2,I1,0.4066666666666667,2022-09-01
2023,1,I1,0.16956521739130434,2023-03-01
2023,2,I1,0.34444444444444444,2023-09-01
2024,1,I1,0.18,2024-03-01
2024,2,I1,0.0898876404494382,2024-09-01
2025,1,I1,0.14356435643564355,2025-03-01
2008,1,SP1,0.45714285714285713,2008-03-01
2008,2,SP1,0.4625,2008-09-01
2009,1,SP1,0.39545454545454545,2009-03-01
2009,2,SP1,0.43333333333333335,2009-09-01
2010,1,SP1,0.5217391304347826,2010-03-01
2010,2,SP1,0.5625,2010-09-01
2011,1,SP1,0.509090909090909,2011-03-01
2011,2,SP1,0.6125,2011-09-01
2012,1,SP1,0.5818181818181818,2012-03-01
2012,2,SP1,0.48823529411764705,2012-09-01
2013,1,SP1,0.5142857142857142,2013-03-01
2013,2,SP1,0.4,2013-09-01
2014,1,SP1,0.6047619047619047,2014-03-01
2014,2,SP1,0.3522012578616352,2014-09-01
2015,1,SP1,0.4660633484162896,2015-03-01
2015,2,SP1,0.40828402366863903,2015-09-01
2016,1,SP1,0.5592417061611374,2016-03-01
2016,2,SP1,0.36477987421383645,2016-09-01
2017,1,SP1,0.39819004524886875,2017-03-01
2017,2,SP1,0.33136094674556216,2017-09-01
2018,1,SP1,0.4549763033175355,2018-03-01
2018,2,SP1,0.20710059171597633,2018-09-01
2019,1,SP1,0.4075829383886256,2019-03-01
2019,2,SP1,0.5055555555555555,2019-09-01
2020,1,SP1,0.40559440559440557,2020-03-01
2020,2,SP1,0.19339622641509435,2020-09-01
2021,1,SP1,0.2088888888888889,2021-03-01
2021,2,SP1,0.31868131868131866,2021-09-01
2022,1,SP1,0.35858585858585856,2022-03-01
2022,2,SP1,0.26,2022-09-01
2023,1,SP1,0.48695652173913045,2023-03-01
2023,2,SP1,0.3111111111111111,2023-09-01
2024,1,SP1,0.335,2024-03-01
2024,2,SP1,0.3314917127071823,2024-09-01
2025,1,SP1,0.24623115577889448,2025-03-01
